web-1  | INFO:     Started server process [7]
web-1  | INFO:     Waiting for application startup.
web-1  | INFO:     Application startup complete.
web-1  | INFO:     Uvicorn running on http://0.0.0.0:8080 (Press CTRL+C to quit)
web-1  | INFO:     127.0.0.1:37574 - "GET /health HTTP/1.1" 200 OK
web-1  | INFO:     127.0.0.1:50274 - "GET /health HTTP/1.1" 200 OK
web-1  | INFO:     127.0.0.1:43524 - "GET /health HTTP/1.1" 200 OK
web-1  | INFO:     127.0.0.1:37700 - "GET /health HTTP/1.1" 200 OK
web-1  | INFO:     127.0.0.1:54530 - "GET /health HTTP/1.1" 200 OK
web-1  | INFO:     127.0.0.1:55876 - "GET /health HTTP/1.1" 200 OK
web-1  | INFO:     127.0.0.1:47424 - "GET /health HTTP/1.1" 200 OK
web-1  | INFO:     127.0.0.1:44368 - "GET /health HTTP/1.1" 200 OK
web-1  | INFO:     127.0.0.1:58454 - "GET /health HTTP/1.1" 200 OK
web-1  | INFO:     127.0.0.1:39456 - "GET /health HTTP/1.1" 200 OK
web-1  | INFO:     127.0.0.1:51542 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     Started server process [8]
api-1  | INFO:     Waiting for application startup.
api-1  | INFO:     Application startup complete.
api-1  | INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
api-1  | INFO:     127.0.0.1:55624 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:58252 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:58266 - "GET /openapi.json HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:38026 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:44412 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:54406 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:41434 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:57472 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:37168 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:46674 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.5:36400 - "GET / HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.5:36404 - "GET /robots.txt HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.5:36400 - "GET / HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.5:36406 - "GET /sitemap.xml HTTP/1.1" 404 Not Found
api-1  | INFO:     127.0.0.1:51196 - "GET /health HTTP/1.1" 200 OK
api-1       | INFO:     127.0.0.1:48868 - "GET /health HTTP/1.1" 200 OK
api-1       | INFO:     127.0.0.1:42268 - "GET /health HTTP/1.1" 200 OK
api-1       | INFO:     172.18.0.5:43202 - "GET /openapi.json HTTP/1.1" 200 OK
api-1       | INFO:     172.18.0.5:43202 - "GET /health HTTP/1.1" 200 OK
api-1       | INFO:     172.18.0.5:43202 - "GET /3748595688880451612 HTTP/1.1" 404 Not Found
api-1       | INFO:     172.18.0.5:43202 - "GET / HTTP/1.1" 404 Not Found
api-1       | INFO:     172.18.0.5:43202 - "GET / HTTP/1.1" 404 Not Found
api-1       | INFO:     172.18.0.5:43202 - "GET / HTTP/1.1" 404 Not Found
